KeywordId	GenreType	GenreName	KeywordName
125	Vehicle	교통수단	오토바이
126	Vehicle	교통수단	비행기
127	Vehicle	교통수단	배
128	Vehicle	교통수단	기차
129	Vehicle	교통수단	택시
130	Vehicle	교통수단	트럭
131	Vehicle	교통수단	헬리콥터
132	Vehicle	교통수단	요트
133	Vehicle	교통수단	잠수함
134	Vehicle	교통수단	열기구
135	Vehicle	교통수단	스쿠터
136	Vehicle	교통수단	케이블카
137	Vehicle	교통수단	보트
138	Vehicle	교통수단	화물선
139	Vehicle	교통수단	우주선
140	Vehicle	교통수단	리무진
141	Country	나라	한국
142	Country	나라	미국
143	Country	나라	일본
144	Country	나라	중국
145	Country	나라	프랑스
146	Country	나라	영국
147	Country	나라	독일
148	Country	나라	이탈리아
149	Country	나라	인도
150	Country	나라	브라질
151	Country	나라	캐나다
152	Country	나라	호주
153	Country	나라	스페인
154	Country	나라	러시아
155	Country	나라	멕시코
156	Country	나라	태국
157	Country	나라	베트남
158	Country	나라	이집트
159	Country	나라	터키
160	Country	나라	스위스
161	Subject	과목	수학
162	Subject	과목	국어
163	Subject	과목	영어
164	Subject	과목	과학
165	Subject	과목	사회
166	Subject	과목	미술
167	Subject	과목	음악
168	Subject	과목	체육
169	Subject	과목	역사
170	Subject	과목	도덕
171	Subject	과목	지리
172	Subject	과목	물리
173	Subject	과목	화학
174	Subject	과목	생물
175	Subject	과목	윤리
176	Subject	과목	한문
177	Subject	과목	기술가정
178	Subject	과목	정보
179	Subject	과목	제2외국어
180	Subject	과목	보건
181	Color	색깔	빨강
182	Color	색깔	파랑
183	Color	색깔	노랑
184	Color	색깔	초록
185	Color	색깔	보라
186	Color	색깔	주황
187	Color	색깔	검정
188	Color	색깔	하양
189	Color	색깔	분홍
190	Color	색깔	하늘색
191	Color	색깔	갈색
192	Color	색깔	회색
193	Color	색깔	금색
194	Color	색깔	은색
195	Color	색깔	연두색
196	Color	색깔	남색
197	Color	색깔	자주색
198	Color	색깔	카키색
199	Color	색깔	베이지색
200	Color	색깔	민트색
201	Holiday	명절·기념일	설날
202	Holiday	명절·기념일	추석
203	Holiday	명절·기념일	크리스마스
204	Holiday	명절·기념일	어린이날
205	Holiday	명절·기념일	할로윈
206	Holiday	명절·기념일	발렌타인데이
207	Holiday	명절·기념일	신정
208	Holiday	명절·기념일	석가탄신일
209	Holiday	명절·기념일	삼일절
210	Holiday	명절·기념일	광복절
211	Holiday	명절·기념일	화이트데이
212	Holiday	명절·기념일	빼빼로데이
213	Holiday	명절·기념일	현충일
214	Holiday	명절·기념일	개천절
215	Holiday	명절·기념일	한글날
216	Holiday	명절·기념일	근로자의 날
217	Holiday	명절·기념일	어버이날
218	Holiday	명절·기념일	스승의 날
219	Holiday	명절·기념일	정월대보름
220	Holiday	명절·기념일	동지
221	Zodiac	별자리	양자리
222	Zodiac	별자리	황소자리
223	Zodiac	별자리	쌍둥이자리
224	Zodiac	별자리	게자리
225	Zodiac	별자리	사자자리
226	Zodiac	별자리	처녀자리
227	Zodiac	별자리	천칭자리
228	Zodiac	별자리	전갈자리
229	Zodiac	별자리	사수자리
230	Zodiac	별자리	염소자리
231	Zodiac	별자리	물병자리
232	Zodiac	별자리	물고기자리
233	Zodiac	별자리	오리온자리
234	Zodiac	별자리	큰곰자리
235	Zodiac	별자리	작은곰자리
236	Zodiac	별자리	카시오페아자리
237	Zodiac	별자리	백조자리
238	Zodiac	별자리	페가수스자리
239	Zodiac	별자리	안드로메다자리
240	Zodiac	별자리	헤라클레스자리
